epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,25087.7,1.80588,1.07219,0.00627,0.90378,0.80867,0.85783,0.43337,1.48442,1.08334,0.00584,0.00029705,0.00029705,0.00029705
43,25669.3,1.80178,1.07949,0.00621,0.90323,0.8105,0.8585,0.43459,1.48274,1.08064,0.00583,0.0002921,0.0002921,0.0002921
44,26251.3,1.79869,1.065,0.00617,0.90457,0.81112,0.8619,0.43673,1.48158,1.07344,0.00582,0.00028715,0.00028715,0.00028715
45,26832.8,1.80081,1.07091,0.00619,0.90323,0.81238,0.86246,0.4375,1.47941,1.07185,0.0058,0.0002822,0.0002822,0.0002822
46,27414.4,1.79503,1.07215,0.00621,0.90367,0.81253,0.86279,0.43781,1.47858,1.06746,0.0058,0.00027725,0.00027725,0.00027725
47,27996.7,1.79486,1.05075,0.00616,0.90457,0.81248,0.86325,0.43811,1.47735,1.06639,0.00579,0.0002723,0.0002723,0.0002723
48,28578.4,1.79677,1.05577,0.00612,0.90311,0.81392,0.86372,0.43871,1.4762,1.06367,0.00578,0.00026735,0.00026735,0.00026735
49,29160,1.7876,1.05425,0.00617,0.90423,0.81432,0.86439,0.43932,1.47558,1.06184,0.00578,0.0002624,0.0002624,0.0002624
50,29741.6,1.79043,1.05799,0.0061,0.9038,0.81574,0.86487,0.44034,1.47319,1.06196,0.00577,0.00025745,0.00025745,0.00025745
51,30323.1,1.77956,1.04548,0.00609,0.90539,0.81589,0.86521,0.44087,1.47153,1.05959,0.00576,0.0002525,0.0002525,0.0002525
52,30905,1.77894,1.04556,0.00605,0.90458,0.81722,0.86556,0.44128,1.47064,1.05928,0.00574,0.00024755,0.00024755,0.00024755
53,31486.6,1.77518,1.02455,0.00606,0.905,0.8182,0.86594,0.44158,1.47061,1.0591,0.00574,0.0002426,0.0002426,0.0002426
54,32068.2,1.78441,1.0367,0.0061,0.9051,0.81863,0.86614,0.44219,1.47014,1.05537,0.00574,0.00023765,0.00023765,0.00023765
55,32649.9,1.77018,1.03156,0.00601,0.90619,0.81852,0.8663,0.44298,1.47047,1.05387,0.00575,0.0002327,0.0002327,0.0002327
56,33232.2,1.77365,1.02398,0.00603,0.90697,0.81916,0.8668,0.44257,1.46997,1.05521,0.00575,0.00022775,0.00022775,0.00022775
57,33813.7,1.77144,1.02593,0.00605,0.90749,0.81928,0.86721,0.44342,1.47083,1.05528,0.00576,0.0002228,0.0002228,0.0002228
58,34564,1.77395,1.01613,0.00602,0.90669,0.81995,0.86717,0.4437,1.46948,1.05569,0.00575,0.00021785,0.00021785,0.00021785
59,35520.8,1.76946,1.02695,0.00602,0.90706,0.82038,0.86758,0.44423,1.46873,1.05775,0.00574,0.0002129,0.0002129,0.0002129
60,38285.2,1.76435,1.00763,0.00596,0.90718,0.82111,0.86778,0.44465,1.46749,1.05749,0.00574,0.00020795,0.00020795,0.00020795
61,39434.3,1.76534,1.02231,0.00608,0.90842,0.82057,0.8679,0.44567,1.46591,1.05758,0.00573,0.000203,0.000203,0.000203
62,40010.1,1.75941,1.00528,0.00596,0.9082,0.82138,0.86786,0.4455,1.46646,1.05592,0.00573,0.00019805,0.00019805,0.00019805
63,40585.8,1.75489,1.01031,0.00596,0.90799,0.82241,0.86818,0.44606,1.46534,1.05532,0.00572,0.0001931,0.0001931,0.0001931
64,41161.6,1.76277,1.00186,0.00596,0.90791,0.82237,0.86831,0.4467,1.46521,1.05243,0.00572,0.00018815,0.00018815,0.00018815
65,41736.8,1.74749,0.99835,0.00593,0.90978,0.82153,0.86851,0.44722,1.46502,1.05357,0.00571,0.0001832,0.0001832,0.0001832
66,42312.5,1.75251,0.99761,0.00597,0.909,0.82256,0.86858,0.44763,1.46421,1.0548,0.0057,0.00017825,0.00017825,0.00017825
67,42888,1.74462,0.99643,0.00592,0.90859,0.82353,0.86866,0.44776,1.46447,1.05367,0.0057,0.0001733,0.0001733,0.0001733
68,43463.5,1.74379,0.98811,0.00587,0.90829,0.8239,0.86898,0.44792,1.46303,1.05359,0.00569,0.00016835,0.00016835,0.00016835
69,44039.1,1.74133,0.981,0.00592,0.90843,0.82399,0.86896,0.44815,1.46257,1.05463,0.00569,0.0001634,0.0001634,0.0001634
70,44614.7,1.73372,0.98861,0.00588,0.90855,0.82424,0.86912,0.4487,1.46278,1.05512,0.00568,0.00015845,0.00015845,0.00015845
71,45190.4,1.74163,0.97821,0.0059,0.90911,0.82424,0.86946,0.44925,1.46128,1.05561,0.00567,0.0001535,0.0001535,0.0001535
72,45765.9,1.74012,0.98462,0.0059,0.91,0.82403,0.86971,0.44962,1.45982,1.05545,0.00567,0.00014855,0.00014855,0.00014855
73,46341.4,1.73518,0.98006,0.0059,0.90967,0.82458,0.86966,0.45005,1.45912,1.05494,0.00567,0.0001436,0.0001436,0.0001436
74,46917,1.72581,0.97206,0.00585,0.91157,0.82353,0.86986,0.45009,1.45816,1.0602,0.00567,0.00013865,0.00013865,0.00013865
75,47492.2,1.72646,0.96974,0.00585,0.91207,0.82298,0.87018,0.45019,1.45699,1.06,0.00567,0.0001337,0.0001337,0.0001337
76,48067.6,1.71893,0.96315,0.0058,0.90964,0.82553,0.87041,0.4502,1.45675,1.05864,0.00566,0.00012875,0.00012875,0.00012875
