epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,545.251,1.99541,1.72787,1.31685,0.77772,0.63907,0.67013,0.2674,1.61077,4.08997,1.10585,0.000166649,0.000166649,0.0668368
2,1059.29,1.94135,1.56486,1.30115,0.84794,0.73364,0.76972,0.33216,1.55603,3.62293,1.10025,0.000330016,0.000330016,0.0336669
3,1562.48,1.90215,1.46332,1.28769,0.86289,0.73153,0.7867,0.34771,1.50145,3.21274,1.06157,0.000490083,0.000490083,0.000493607
4,2059.33,1.87398,1.38232,1.27618,0.87172,0.75536,0.8079,0.3654,1.48655,3.43489,1.06208,0.00048515,0.00048515,0.00048515
5,2572.16,1.84504,1.33104,1.26602,0.87558,0.76713,0.82021,0.37337,1.4721,3.32406,1.05328,0.0004802,0.0004802,0.0004802
6,3081.71,1.82184,1.28168,1.25117,0.87934,0.77808,0.82756,0.38218,1.47154,3.3208,1.0574,0.00047525,0.00047525,0.00047525
7,3575.39,1.80522,1.25469,1.25237,0.87884,0.78206,0.8316,0.38637,1.45975,3.36496,1.05717,0.0004703,0.0004703,0.0004703
8,4069.44,1.78998,1.22267,1.24516,0.87975,0.78629,0.83542,0.39164,1.45947,3.28373,1.05996,0.00046535,0.00046535,0.00046535
9,4563.06,1.79248,1.20769,1.24867,0.87837,0.78856,0.8367,0.39322,1.45724,3.22647,1.06374,0.0004604,0.0004604,0.0004604
10,5056.39,1.78126,1.19052,1.24848,0.87916,0.7898,0.83799,0.39742,1.45586,3.1443,1.06499,0.00045545,0.00045545,0.00045545
11,5560.97,1.76979,1.17921,1.23782,0.88199,0.78914,0.83915,0.40015,1.45443,3.06481,1.06556,0.0004505,0.0004505,0.0004505
12,6064.72,1.75959,1.16594,1.24065,0.88343,0.7901,0.84021,0.40208,1.4541,3.00721,1.06644,0.00044555,0.00044555,0.00044555
13,6568.83,1.74828,1.15702,1.23513,0.88437,0.79001,0.84077,0.40398,1.45318,2.92536,1.06599,0.0004406,0.0004406,0.0004406
14,7072.59,1.74971,1.1331,1.23388,0.88498,0.79091,0.84183,0.40557,1.45118,2.87092,1.06578,0.00043565,0.00043565,0.00043565
15,7576.17,1.74098,1.13052,1.23135,0.88474,0.79119,0.84211,0.40686,1.45033,2.81782,1.06634,0.0004307,0.0004307,0.0004307
16,8080.48,1.74478,1.12376,1.23459,0.8856,0.79167,0.84278,0.40757,1.44992,2.74214,1.06708,0.00042575,0.00042575,0.00042575
17,8584.67,1.7314,1.11147,1.23023,0.88711,0.79202,0.84353,0.40859,1.44992,2.68752,1.06836,0.0004208,0.0004208,0.0004208
18,9088.53,1.72979,1.10748,1.22625,0.88729,0.79265,0.84437,0.40973,1.44974,2.62272,1.06936,0.00041585,0.00041585,0.00041585
19,9592.54,1.72468,1.09345,1.22403,0.88809,0.79273,0.84463,0.4103,1.45009,2.55008,1.07098,0.0004109,0.0004109,0.0004109
20,10097.2,1.71744,1.09343,1.22337,0.88847,0.79343,0.84551,0.41181,1.44983,2.48621,1.072,0.00040595,0.00040595,0.00040595
21,10601.3,1.72232,1.09048,1.22583,0.8891,0.79449,0.84663,0.41304,1.45038,2.4157,1.07354,0.000401,0.000401,0.000401
22,11105.9,1.71203,1.07818,1.22442,0.89026,0.79499,0.84717,0.41393,1.44966,2.36188,1.07442,0.00039605,0.00039605,0.00039605
23,11610.1,1.71532,1.07228,1.22227,0.89103,0.79567,0.84805,0.41518,1.44925,2.31801,1.07522,0.0003911,0.0003911,0.0003911
24,12114.9,1.71288,1.0646,1.22505,0.89188,0.79624,0.8486,0.41593,1.44915,2.26349,1.07649,0.00038615,0.00038615,0.00038615
25,12619.5,1.70616,1.06286,1.22255,0.89312,0.79708,0.84975,0.41675,1.44985,2.21702,1.07772,0.0003812,0.0003812,0.0003812
26,13123.8,1.69804,1.06855,1.21772,0.89397,0.79828,0.8508,0.41795,1.44866,2.17377,1.07792,0.00037625,0.00037625,0.00037625
27,13628.9,1.69468,1.04535,1.21311,0.89529,0.79975,0.85167,0.41874,1.44871,2.13089,1.07865,0.0003713,0.0003713,0.0003713
28,14133.9,1.69913,1.03609,1.21456,0.89621,0.80111,0.8526,0.41948,1.44792,2.08555,1.07882,0.00036635,0.00036635,0.00036635
29,14638.8,1.69405,1.03796,1.21117,0.89679,0.80235,0.85351,0.42052,1.44714,2.04615,1.07875,0.0003614,0.0003614,0.0003614
